627.cam4_s-490B.champsimtrace.xzcumulative IPC: 0.81478 0.786329 2925834 1257688   1.60698e+06 2.04365e+06 1.52582e+06 1.48556e+06 517830 121421 517830 8.15021e+06 5.80248e+06 2.34773e+06 3.59345e+06 2.64711e+06 946344
628.pop2_s-17B.champsimtrace.xzcumulative IPC: 1.02821 0.562663 2387731 1045662   1.14728e+06 2.03901e+06 1.43519e+06 1.12786e+06 603819 19414 603819 6.71367e+06 5.14336e+06 1.57031e+06 2.19166e+06 1.48477e+06 706883
627.cam4_s-573B.champsimtrace.xzcumulative IPC: 0.667529 0.407392 779390 159084   106381 261127 161088 103421 100039 2960 100040 4.00568e+06 2.83562e+06 1.17006e+06 2.16561e+06 1.09815e+06 1.06745e+06
631.deepsjeng_s-928B.champsimtrace.xzcumulative IPC: 0.547167 0.0466239 106003 51535   4712 101064 42491 4009 58573 703 58600 517771 426192 91579 150487 49505 100982
641.leela_s-1052B.champsimtrace.xzcumulative IPC: 0.413758 0.161026 400622 11591   4558 28306 17524 4226 10782 332 10782 975142 960470 14672 15934 9925 6009
641.leela_s-334B.champsimtrace.xzcumulative IPC: 0.409831 0.40574 182804 31560   23102 56938 34931 22697 22007 405 22007 662398 604713 57685 81970 39609 42361
641.leela_s-602B.champsimtrace.xzcumulative IPC: 0.404774 0.694581 417643 144049   121926 175539 146227 119593 29312 2333 29312 1.33574e+06 1.06807e+06 267676 400658 357113 43545
641.leela_s-149B.champsimtrace.xzcumulative IPC: 0.408778 0.589746 116867 6433   55054 93352 69107 51531 24245 3523 24245 449537 440120 9417 12645 8466 4179
641.leela_s-1083B.champsimtrace.xzcumulative IPC: 0.38831 0.44749 851247 389744   336626 752254 369573 331269 382681 5357 382691 2.59853e+06 1.81419e+06 784337 1.15967e+06 399485 760189
638.imagick_s-824B.champsimtrace.xzcumulative IPC: 0.589809 0.499282 47755 41488   51828 103805 51901 51828 51904 0 51904 133376 90919 42457 84914 42457 42457
644.nab_s-12459B.champsimtrace.xzcumulative IPC: 0.556039 0.639785 1797472 300489   234759 366934 354669 232794 12265 1965 12266 3.2146e+06 2.83717e+06 377438 412030 376039 35991
641.leela_s-862B.champsimtrace.xzcumulative IPC: 0.407959 0.201603 257866 8951   4403 21840 13752 4119 8088 284 8088 692547 678976 13571 15356 9763 5593
641.leela_s-800B.champsimtrace.xzcumulative IPC: 0.408051 0.392119 381181 48101   35842 91406 52226 34767 39180 1075 39180 968058 878836 89222 124816 53871 70945
644.nab_s-5853B.champsimtrace.xzcumulative IPC: 0.646954 0.431688 960607 42786   46792 108393 54942 46666 53451 126 53451 2.10312e+06 2.05773e+06 45388 46256 2395 43861
644.nab_s-12521B.champsimtrace.xzcumulative IPC: 0.805416 0.431644 1255455 143719   154510 357957 180661 153944 177296 566 177296 2.89047e+06 2.73862e+06 151849 155120 5934 149186
644.nab_s-7928B.champsimtrace.xzcumulative IPC: 0.613421 0.448481 2438444 128537   133190 296980 160284 131746 136696 1444 136696 4.88664e+06 4.74911e+06 137532 145879 30679 115200
648.exchange2_s-1247B.champsimtrace.xzcumulative IPC: 0.907967 0.38123 1884 833   719 1886 917 719 969 0 969 4320 3113 1207 1207 0 1207
